Accession ID	Collection date	Submission date	Location
EPI_ISL_18004408	2016-04-16	2017-02-01	South America / Brazil / Bahia
EPI_ISL_18004409	2016-02-25	2017-02-01	South America / Brazil / Tocantins / Porto Nacional
EPI_ISL_18004413	2015-02-23	2017-02-01	South America / Brazil / Rio Grande do Norte
EPI_ISL_18004414	2016-01-15	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004415	2016-01-19	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004416	2016-01-06	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004417	2016-01-18	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004418	2016-01-18	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004419	2015-05-13	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004420	2015-05-13	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004421	2015-05-14	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004422	2015-06-15	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004423	2016-07-10	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004424	2015-08-09	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004425	2015-08-20	2017-02-01	South America / Brazil / Alagoas
EPI_ISL_18004426	2015-09-09	2017-02-01	South America / Brazil / Alagoas
EPI_ISL_18004427	2016-05-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004428	2016-04-25	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004429	2016-04-24	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004430	2016-04-24	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004431	2016-04-24	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004432	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004433	2016-05-24	2017-02-01	South America / Brazil / Tocantins / Araguaina
EPI_ISL_18004434	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004435	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004436	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004437	2016-04-18	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004438	2016-04-18	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004439	2016-04-18	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004440	2015-08-28	2017-02-01	South America / Brazil / Alagoas
EPI_ISL_18004441	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004506	2016-10-10	2017-05-05	South America / Brazil
EPI_ISL_18004507	2016-11-11	2017-05-05	South America / Brazil
EPI_ISL_18004508	2016-03-05	2017-05-05	South America / Brazil
EPI_ISL_18004509	2016-03-05	2017-05-05	South America / Brazil
EPI_ISL_18004510	2016-07-07	2017-05-05	South America / Brazil
EPI_ISL_18004511	2016-06-05	2017-05-05	South America / Brazil
EPI_ISL_18004512	2016-06-05	2017-05-05	South America / Brazil
EPI_ISL_18004538	2016-02-12	2016-11-30	South America / Brazil
EPI_ISL_18059199	2018-04-25	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059200	2018-04-23	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059201	2018-04-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059202	2018-04-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059203	2018-04-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059204	2018-04-20	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059205	2018-04-20	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059206	2018-04-17	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059207	2018-04-15	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059208	2018-04-15	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059209	2018-04-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059210	2018-04-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059211	2018-04-13	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059212	2018-04-13	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059213	2018-04-13	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059214	2018-04-13	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059215	2018-04-12	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059216	2018-04-11	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059217	2018-04-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059218	2018-04-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059219	2018-04-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059220	2018-04-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059221	2018-04-06	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059222	2018-04-05	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059223	2018-04-03	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059224	2018-04-02	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059225	2018-04-02	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059226	2018-04-02	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059227	2018-03-27	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059228	2018-03-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059229	2018-03-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059230	2018-03-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059231	2018-03-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059232	2018-03-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059233	2018-03-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059234	2018-03-20	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059235	2018-03-20	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059236	2018-03-19	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059237	2018-06-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059238	2018-06-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059239	2018-06-08	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059240	2018-06-08	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059241	2018-06-08	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059242	2018-06-08	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059243	2018-06-08	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059244	2018-06-06	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059245	2018-06-01	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059246	2018-05-30	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059247	2018-05-30	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059248	2018-05-30	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059249	2018-05-29	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059250	2018-05-29	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059251	2018-05-28	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059252	2018-05-28	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059253	2018-05-28	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059254	2018-05-26	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059255	2018-05-26	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059256	2018-05-26	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059257	2018-05-26	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059258	2018-05-25	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059259	2018-05-25	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059260	2018-05-24	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059261	2018-05-23	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059262	2018-05-22	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059263	2018-05-22	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059264	2018-05-17	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059265	2018-05-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059266	2018-05-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059267	2018-05-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059268	2018-05-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059269	2018-05-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059270	2018-05-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059271	2018-05-19	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059272	2018-05-19	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059273	2018-05-18	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059274	2018-05-18	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059275	2018-05-18	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059276	2018-05-18	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059277	2018-05-18	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059278	2018-05-18	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059279	2018-05-18	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059280	2018-05-17	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059281	2018-05-17	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059282	2018-05-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059283	2018-05-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059284	2018-05-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059285	2018-05-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059286	2018-05-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059287	2018-05-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059288	2018-05-15	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059289	2018-05-12	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059290	2018-05-12	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059291	2018-05-12	2023-08-02	South America / Brazil / Amazonas
